DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,StudioApartment
35,2,47.981561235175036,29.44275054713416,6.0,7,9,1969,0.089039719,B,B,33,7976,5,900.0,0,11,B,184966.9307298416,0
41,3,65.68363987232783,40.04954252356546,8.0,7,9,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,300009.4500627274,0
53,2,44.947952764125006,29.1976116880482,0.0,8,12,1968,0.049637257000000004,B,B,34,7759,0,229.0,1,3,B,220925.90852358093,1
58,2,53.35298135561336,33.055888969878914,9.0,8,17,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B,175616.22721724625,0
99,1,39.649191950029994,23.7761691108976,7.0,11,12,1976,0.012338886,B,B,35,5776,1,2078.0,2,4,B,150226.5316437466,0
59,3,80.38447920267191,46.68372012823429,12.0,5,17,2011,0.309479124,B,B,35,7715,4,990.0,0,6,B,215898.4477421489,0
154,2,62.254113586402504,37.16037741888674,7.0,3,5,1960,0.460556389,B,B,20,4386,14,900.0,1,5,B,296021.2043771131,0
74,2,80.31292563185586,32.5521342349919,0.0,14,18,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,221244.15666358554,1
1,2,64.51143730838427,32.5521342349919,1.0,9,17,1977,0.0071223169999999995,B,B,1,264,0,900.0,0,1,B,229102.7959994131,0
23,1,46.46140869718414,18.915552483878766,8.0,13,17,2014,0.075778755,B,B,6,1437,3,900.0,0,2,B,95380.22099316985,0
28,2,46.30490677332586,27.922584447134266,6.0,8,9,1973,0.118537385,B,B,30,6207,1,1183.0,1,0,B,204243.55312879704,0
31,3,68.80885909839964,45.736905639421956,7.0,1,8,1959,0.0,B,B,23,3684,2,900.0,0,4,B,165534.5414246522,0
13,2,54.5228049029371,31.75975305618809,1.0,8,12,1999,0.090799103,B,B,74,19083,2,900.0,5,15,B,229220.37260914012,0
57,3,68.10273923286483,39.3114930561345,8.0,6,12,1980,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,252481.9083226248,0
27,1,53.769097136525275,52.40802696611313,1.0,5,5,1977,0.072157581,B,B,2,629,1,900.0,0,0,A,140647.56593684404,0
85,3,73.6122247317727,53.89208948435271,6.0,4,9,1979,0.037177818,B,B,52,11217,1,2300.0,1,7,B,89084.32787608178,0
27,2,49.36064780032354,31.993963547007407,5.0,6,7,1983,0.051815435,B,B,5,1227,0,900.0,0,0,B,117000.38128669599,0
34,2,57.969964222530145,32.01248263525128,9.0,6,14,2001,0.069753361,B,B,53,13670,4,900.0,1,11,B,231828.43766693235,0
57,1,44.51348081256669,23.113423134573804,8.0,6,12,1983,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,183743.23046424173,0
19,3,110.95979224728356,56.996764901321505,11.0,16,25,2012,0.000991363,B,B,33,6783,3,900.0,1,9,B,394895.32598680095,0
